MESH_NM	MESH_ACC_TXT	CTD_ACTION_CD	MGI_ACTION_CD	OMIM_NM	OMIM_ID	OMIM_Designation	CREATE_BY	CREATE_BY_DATE	MOD_BY	MOD_BY_DATE	CURATOR_NOTE															
Gynecomastia	D006177	L	L	17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY	264300	#	apd	05/12/10	apd	05/12/10																
Disorders of Sex Development	D012734	L	L	17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY	264300	#	apd	05/12/10	apd	05/12/10																
Hydroxyacyl-coa dehydrogenase, type 2, deficiency	C536080	M	L	17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY	300438	#	apd	05/12/10	apd	06/03/11																
Metabolism, Inborn Errors	D008661	M	M	2,4-DIENOYL-COA REDUCTASE 1	222745	+	apd	05/12/10	apd	05/12/10																
Rickets	D012279	L	L	25-HYDROXYVITAMIN D3 DEFICIENCY, SELECTIVE	600081	#	apd	05/12/10	apd	05/12/10																
Amino Acid Metabolism, Inborn Errors	D000592	L	L	2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY	610006	#	apd	05/12/10	apd	05/12/10																
HMG CoA lyase deficiency	C538324	M	M	3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY	246450	+	apd	05/12/10	apd	05/25/11																
Dyslipidemias	D050171	M	M	3-HYDROXY-3-METHYLGLUTARYL-COA REDUCTASE	142910	+	apd	05/12/10	apd	05/25/11																
Metabolism, Inborn Errors	D008661	M	M	3-HYDROXY-3-METHYLGLUTARYL-COA REDUCTASE	142910	+	apd	05/12/10	apd	05/12/10																
Hypoglycemia	D007003	L	L	3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE 2, MITOCHONDRIAL, DEFICIENCY OF	605911	#	apd	05/12/10	apd	05/12/10																
3-hydroxyacyl-coa dehydrogenase deficiency	C535310	M	M	3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY	231530	#	apd	05/12/10	apd	05/12/10																
3-methylcrotonyl CoA carboxylase 1 deficiency  	C535308	M	M	3-METHYLCROTONYL-COA CARBOXYLASE 1 DEFICIENCY	210200	#	apd	05/12/10	apd	05/25/11																
3-methylcrotonyl CoA carboxylase 2 deficiency	C535309	M	M	3-METHYLCROTONYL-COA CARBOXYLASE 2 DEFICIENCY	210210	#	apd	05/12/10	apd	05/25/11																
Metabolism, Inborn Errors	D008661	L	L	3-METHYLGLUTACONIC ACIDURIA, TYPE I	250950	#	apd	05/12/10	apd	05/12/10																
Costeff optic atrophy syndrome	C535311	M	L	3-METHYLGLUTACONIC ACIDURIA, TYPE III	258501	#	apd	05/12/10	apd	08/08/11																
Metabolism, Inborn Errors	D008661	L	L	3-METHYLGLUTACONIC ACIDURIA, TYPE V	610198	#	apd	05/12/10	apd	05/12/10																
Ovotesticular Disorders of Sex Development	D050090	L	L	46,XX GONADAL DYSGENESIS, COMPLETE, SRY-POSITIVE	400045	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Gonadal Dysgenesis, 46,XX	D023961	L	L	46,XX GONADAL DYSGENESIS, COMPLETE, SRY-POSITIVE	400045	#	apd	05/12/10	apd	05/25/11	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Gonadal Dysgenesis, 46,XX	D023961	L		46,XX SEX REVERSAL 2	278850	#	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Gonadal Dysgenesis, 46,XX	D023961	L		46,XX SEX REVERSAL 3	300833	#	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
